"adj_rand" "est" "T" "seed"
0.731610337972167 "MinBinder" 0.15 2019
0.731610337972167 "MinBinder" 0.2 2019
0.731610337972167 "MinBinder" 0.25 2019
0.731610337972167 "MinBinder" 0.3 2019
0.731610337972167 "MinBinder" 0.35 2019
0.731610337972167 "MinBinder" 0.4 2019
0.731610337972167 "MinBinder" 0.45 2019
0.731610337972167 "MinBinder" 0.5 2019
0.731610337972167 "MinBinder" 0.55 2019
0.731610337972167 "MinBinder" 0.6 2019
0.731610337972167 "MinBinder" 0.65 2019
0.731610337972167 "MinBinder" 0.7 2019
0.731610337972167 "MinBinder" 0.75 2019
0.731610337972167 "MinBinder" 0.8 2019
0.731610337972167 "MinBinder" 0.85 2019
0.731610337972167 "MinBinder" 0.9 2019
0.731610337972167 "MinBinder" 0.95 2019
0.952178533475027 "MinBinder" 1 2019
0.550898203592814 "MinBinder" 0.05 2020
0.550898203592814 "MinBinder" 0.1 2020
0.892086330935252 "MinBinder" 0.15 2020
0.550898203592814 "MinBinder" 0.2 2020
0.550898203592814 "MinBinder" 0.25 2020
0.794520547945205 "MinBinder" 0.3 2020
0.550898203592814 "MinBinder" 0.35 2020
0.550898203592814 "MinBinder" 0.4 2020
0.749163879598662 "MinBinder" 0.45 2020
0.550898203592814 "MinBinder" 0.5 2020
0.550898203592814 "MinBinder" 0.55 2020
0.550898203592814 "MinBinder" 0.6 2020
0.550898203592814 "MinBinder" 0.65 2020
0.550898203592814 "MinBinder" 0.7 2020
0.550898203592814 "MinBinder" 0.75 2020
0.550898203592814 "MinBinder" 0.8 2020
0.550898203592814 "MinBinder" 0.85 2020
0.550898203592814 "MinBinder" 0.9 2020
0.550898203592814 "MinBinder" 0.95 2020
0.550898203592814 "MinBinder" 1 2020
1 "MinBinder" 0.05 2021
1 "MinBinder" 0.1 2021
1 "MinBinder" 0.15 2021
1 "MinBinder" 0.2 2021
1 "MinBinder" 0.25 2021
1 "MinBinder" 0.3 2021
1 "MinBinder" 0.35 2021
1 "MinBinder" 0.4 2021
1 "MinBinder" 0.45 2021
1 "MinBinder" 0.5 2021
1 "MinBinder" 0.55 2021
1 "MinBinder" 0.6 2021
1 "MinBinder" 0.65 2021
1 "MinBinder" 0.7 2021
1 "MinBinder" 0.75 2021
1 "MinBinder" 0.8 2021
1 "MinBinder" 0.85 2021
1 "MinBinder" 0.9 2021
1 "MinBinder" 0.95 2021
1 "MinBinder" 1 2021
0.905660377358491 "MinBinder" 0.05 2022
0.905660377358491 "MinBinder" 0.1 2022
